****************************************************************************************
Output generated by CrystalDiffract(R) for Windows 6.5.0
Copyright © 1994-2015 CrystalMaker Software Ltd <http://www.crystalmaker.com>

(This file looks best when viewed using a non-proportional font such as Courier New.)
****************************************************************************************

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp
  2   0   4   1.03153   96.6186  2.78536e-002    0.1%   4    20     0.683
  2   6   0   1.02900   96.9367  1.01386e-002    0.0%   4    40     0.683
  3   5   1   1.02818   97.0395  1.08077e+000    2.1%   8    35     0.683
  2   4   3   1.02744   97.1333  4.14733e-002    0.1%   8    29     0.682
  2   1   4   1.01971   98.1222  5.60386e-001    1.1%   8    21     0.682
  4   4   0   1.01500   98.7370  2.36580e-001    0.5%   4    32     0.682
  0   6   2   1.00723   99.7729  7.98659e-001    1.6%   4    40     0.683
  3   3   3   1.00632   99.8952  7.62319e-003    0.0%   8    27     0.683
  0   5   3   1.00517  100.0511  3.72446e-003    0.0%   4    34     0.683
  2   6   1   1.00327  100.3106  2.54389e-001    0.5%   8    41     0.683
  4   3   2   0.99338  101.6873  2.91117e+000    5.7%   8    29     0.685
  5   0   1   0.99138  101.9718  2.25719e-001    0.4%   4    26     0.686
  4   4   1   0.99028  102.1288  1.14232e+000    2.2%   8    33     0.686
  1   3   4   0.98968  102.2149  5.43105e-003    0.0%   8    26     0.687
  1   6   2   0.98800  102.4573  2.19568e+000    4.3%   8    41     0.687
  2   2   4   0.98652  102.6714  1.87062e+000    3.7%   8    24     0.688
  1   5   3   0.98606  102.7382  4.33666e+000    8.5%   8    35     0.688
  5   1   1   0.98087  103.5006  6.74487e-001    1.3%   8    27     0.690
  4   0   3   0.97071  105.0347  2.08949e-002    0.0%   4    25     0.696
  4   1   3   0.96083  106.5845  4.18448e-002    0.1%   8    26     0.704
  3   5   2   0.95647  107.2888  1.33825e+000    2.6%   8    38     0.708
  5   2   1   0.95122  108.1515  1.80493e+000    3.5%   8    30     0.713
  0   7   1   0.94338  109.4772  2.34283e+000    4.6%   4    50     0.722
  3   0   4   0.93928  110.1882  2.73459e-003    0.0%   4    25     0.727
  0   4   4   0.93834  110.3518  3.39294e-001    0.7%   4    32     0.728
  2   3   4   0.93775  110.4558  2.61792e-001    0.5%   8    29     0.729
  2   6   2   0.93632  110.7088  2.68814e-003    0.0%   8    44     0.731
  3   4   3   0.93618  110.7335  1.38730e+000    2.7%   8    34     0.731
  2   5   3   0.93467  111.0021  4.92824e-003    0.0%   8    38     0.733
  4   2   3   0.93292  111.3156  2.18804e-002    0.0%   8    29     0.736
  3   1   4   0.93032  111.7853  1.66592e-002    0.0%   8    26     0.740
  1   7   1   0.92753  112.2966  7.35051e-001    1.4%   8    51     0.744
  5   0   2   0.92663  112.4617  1.90399e-004    0.0%   4    29     0.746
  4   4   2   0.92574  112.6279  2.46119e-001    0.5%   8    36     0.747
  4   5   0   0.92528  112.7135  1.25925e+000    2.5%   4    41     0.748
  1   4   4   0.92274  113.1882  2.45927e-001    0.5%   8    33     0.753
  5   1   2   0.91803  114.0849  1.30820e+000    2.6%   8    30     0.761
  3   6   1   0.91779  114.1312  1.85978e+000    3.7%   8    46     0.762
  5   3   1   0.90728  116.2095  2.02978e-003    0.0%   8    35     0.784
  4   5   1   0.90644  116.3808  8.56328e-001    1.7%   8    42     0.786
  3   2   4   0.90491  116.6926  1.85260e+000    3.6%   8    29     0.790
  2   7   0   0.90184  117.3288  1.82482e-001    0.4%   4    53     0.798
  0   1   5   0.89505  118.7713  1.65058e-001    0.3%   4    26     0.816
  5   2   2   0.89359  119.0888  3.31732e+000    6.5%   8    33     0.820
  4   3   3   0.89136  119.5794  4.33281e-002    0.1%   8    34     0.827
  1   0   5   0.88909  120.0833  1.52464e-005    0.0%   4    26     0.834
  1   6   3   0.88746  120.4489  5.13938e-001    1.0%   8    46     0.840
  2   7   1   0.88437  121.1518  4.72456e-002    0.1%   8    54     0.850
  1   1   5   0.88148  121.8221  1.10139e-001    0.2%   8    27     0.860
  2   4   4   0.88022  122.1176  3.93114e-001    0.8%   8    36     0.865
  1   7   2   0.87386  123.6443  6.38244e-001    1.3%   8    54     0.890
  3   3   4   0.86683  125.4033  8.42670e+000   16.6%   8    34     0.922
  3   6   2   0.86570  125.6944  1.60527e-002    0.0%   8    49     0.927
  3   5   3   0.86440  126.0326  2.48402e+000    4.9%   8    43     0.934
  1   2   5   0.85978  127.2546  8.23258e-001    1.6%   8    30     0.958
  5   3   2   0.85687  128.0457  2.15505e+000    4.2%   8    38     0.974
  4   5   2   0.85616  128.2409  5.27985e-001    1.0%   8    45     0.978
  5   4   1   0.85487  128.5963  1.95663e-001    0.4%   8    42     0.986
  1   5   4   0.85378  128.9010  3.34078e+000    6.6%   8    42     0.993
  2   0   5   0.85087  129.7296  1.05056e+000    2.1%   4    29     1.011
  2   6   3   0.84944  130.1414  4.31933e-002    0.1%   8    49     1.021
  6   0   0   0.84682  130.9102  1.43082e+000    2.8%   2    36     1.039
  2   1   5   0.84419  131.6969  3.48274e+000    6.8%   8    30     1.058
  0   8   0   0.84409  131.7279  3.35972e-001    0.7%   2    64     1.059
  4   0   4   0.84376  131.8271  1.13476e-001    0.2%   4    32     1.061
  4   6   0   0.84237  132.2523  1.82176e-001    0.4%   4    52     1.072
  5   0   3   0.84219  132.3086  1.95136e+000    3.8%   4    34     1.074
  4   4   3   0.84151  132.5165  3.85152e-002    0.1%   8    41     1.079
  6   1   0   0.84024  132.9140  2.35749e+000    4.6%   4    37     1.090
  0   3   5   0.83809  133.5916  7.29830e+000   14.3%   4    34     1.108
  2   7   2   0.83749  133.7840  6.63614e-003    0.0%   8    57     1.113
  4   1   4   0.83725  133.8609  1.99019e-002    0.0%   8    33     1.115
  5   1   3   0.83571  134.3587  3.14433e+000    6.2%   8    35     1.129
  6   0   1   0.83230  135.4866  9.11489e-002    0.2%   4    37     1.162
  4   6   1   0.82808  136.9374  6.72038e+000   13.2%   8    53     1.207
  1   3   5   0.82692  137.3480  1.66578e+000    3.3%   8    35     1.220
  6   1   1   0.82605  137.6558  1.15247e-001    0.2%   8    38     1.230
  2   2   5   0.82507  138.0102  3.14586e+000    6.2%   8    33     1.242
  3   7   1   0.82415  138.3442  1.89465e-001    0.4%   8    59     1.254
  6   2   0   0.82138  139.3739  1.16704e+000    2.3%   4    40     1.290
  3   4   4   0.82079  139.5969  8.09043e-001    1.6%   8    41     1.298
  2   5   4   0.81977  139.9856  2.37130e+000    4.7%   8    45     1.312
  1   8   1   0.81887  140.3337  1.47335e+000    2.9%   8    66     1.325
  4   2   4   0.81859  140.4424  5.17394e-001    1.0%   8    36     1.330
  5   2   3   0.81715  141.0070  6.77394e+000   13.3%   8    38     1.351
  5   4   2   0.81231  142.9837  1.35043e+000    2.7%   8    45     1.433
  0   7   3   0.81216  143.0466  1.90601e-003    0.0%   4    58     1.436
  6   2   1   0.80811  144.8042  6.62177e+000   13.0%   8    41     1.517
  1   7   3   0.80198  147.6820  3.40278e+000    6.7%   8    59     1.668
  2   8   0   0.80103  148.1540  7.68127e+000   15.1%   4    68     1.695
  5   5   1   0.79918  149.0987  2.44717e+000    4.8%   8    51     1.752
  0   6   4   0.79699  150.2596  2.21041e+000    4.3%   4    52     1.827
  3   0   5   0.79683  150.3436  2.25356e+000    4.4%   4    34     1.833
  2   3   5   0.79590  150.8549  1.11692e-001    0.2%   8    38     1.868
  3   6   3   0.79566  150.9882  1.18832e+001   23.4%   8    54     1.877
  6   0   2   0.79287  152.5884  1.62942e+000    3.2%   4    40     1.997
  6   3   0   0.79258  152.7603  6.05297e-003    0.0%   4    45     2.010
  3   1   5   0.79134  153.5127  3.77795e-001    0.7%   8    35     2.072
  0   8   2   0.79063  153.9539  7.40610e-001    1.5%   4    68     2.110
  4   3   4   0.79008  154.3043  6.98044e+000   13.7%   8    41     2.141
  4   6   2   0.78922  154.8561  4.52123e-001    0.9%   8    56     2.191
  5   3   3   0.78878  155.1413  9.02607e-003    0.0%   8    43     2.218
  2   8   1   0.78871  155.1868  1.02067e+001   20.1%   8    69     2.222
  4   5   3   0.78823  155.5091  1.05252e-001    0.2%   8    50     2.253
  6   1   2   0.78746  156.0284  1.29288e+000    2.5%   8    41     2.305
  1   6   4   0.78736  156.0996  5.92684e+000   11.7%   8    53     2.313
  1   4   5   0.78666  156.5859  4.84483e-001    1.0%   8    42     2.364
  3   7   2   0.78581  157.1886  9.10698e+000   17.9%   8    62     2.430
  1   8   2   0.78123  160.8058  9.94397e+000   19.6%   8    69     2.912
  6   3   1   0.78065  161.3181  1.07123e+001   21.1%   8    46     2.995
  3   2   5   0.77553  166.6824  9.55648e-001    1.9%   8    38     4.236
  2   7   3   0.77359  169.4201  5.99289e-003    0.0%   8    62     5.341
  6   2   2   0.77187  172.6672  1.48694e+000    2.9%   8    44     7.678
  3   5   4   0.77112  174.7014  1.22796e+001   24.1%   8    50    10.510
****************************************************************************************
